Job Title,Department,Earnings,meta_row_index,meta_row_id
CITY MANAGER,CITY MANAGER'S OFFICE,201565.42,0,711f228be21707baa1826045b60ea89f5b044a78
CITY ATTORNEY,CITY ATTORNEY'S OFFICE,170976.20,1,f4b31024eba0bfae99590d5c69b46260bba14c61
UTILITIES EXECUTIVE DIRECTOR,UTILITIES MANAGEMENT,151162.44,2,f3a6e335184ddda90eec18261856cfb0356c7385
DEPUTY CITY MANAGER,CITY MANAGER'S OFFICE,144423.23,3,4fd228a63204ce078e0eb687d7a261a6561c1c52
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,140502.62,4,ec22ac294c9bc148bfdedeb21b45b90f44349f7e
DIVISION CHIEF,POUDRE FIRE AUTHORITY,139248.59,5,13aa8ce70326e87b84cf4c6e2c43de8ddc90357f
PFA DIR OF ADMINISTRATIVE SERV,POUDRE FIRE AUTHORITY,135807.83,6,88c8964c06f6e5da3601a5f2f27f9267ac8d42ca
POLICE CAPTAIN,OFFICE OF THE CHIEF,134569.69,7,c7e77b7e6c4e71a9c47bd6ac2591bdb414828ecb
LIGHT AND POWER OPERATIONS MGR,L&P OPERATIONS SERVICE UNIT,130782.88,8,2d17cac2bcb953b38d042ace06b76a53289878be
ASSISTANT CITY MANAGER,CITY MANAGER'S OFFICE,130005.55,9,43244680b88cfb88e90e3f91417d18ece6442908
POLICE LIEUTENANT,PATROL,129976.66,10,22d5e4d1d73ff6512745024e3caeef02763b657e
DIVISION CHIEF,POUDRE FIRE AUTHORITY,127037.37,11,f6fffffa8584c5492f0b7adf49fe6c653b63cb22
DIRECTOR OF PDT,PDT ADMINISTRATION,126553.18,12,2f0ba0e6efcc9eb64b24c5c3d7887f00c5578a10
CAPTAIN II - 40 HR/WK,POUDRE FIRE AUTHORITY,125241.66,13,9f2970e6f88f18f6af7217ee0f65dd6dbe9ae5c0
CAPTAIN II - 40 HR/WK,POUDRE FIRE AUTHORITY,124820.37,14,2c4f5c3fac912a3a4017e1760e9874b9ba55fbdf
INTERIM FIRE CHIEF,POUDRE FIRE AUTHORITY,124281.61,15,ea31b2ef4298cd674fcd8be9a1a10d744decbe42
DIRECTOR OF CPRE,CPRE ADMINISTRATION,124168.72,16,87ba67dd140551e5e5444e1bdeecec9127691966
POLICE SERGEANT,PATROL,119666.40,17,ada2e2e485fcee3041659e641b2442679a1b39b1
POLICE SERGEANT,PATROL,119258.12,18,01c601c882b4659f6c1c12580d7554b31b3b7f07
BATTALION CHIEF II - 40 HR/WK,POUDRE FIRE AUTHORITY,119145.00,19,53edd4f3a7939d6f2e40238baa393b1f25c09809
TRAINING CAPTAIN - 40 HR/WK,POUDRE FIRE AUTHORITY,118618.54,20,aa6779cdd83b7fd95777bd866129f1cf9e1114fb
TRAINING CAPTAIN - 40 HR/WK,POUDRE FIRE AUTHORITY,118598.48,21,9f927fbe07dad3147d3c3fecb72c3615f26e8e59
CAPTAIN I - 56 HR/WK,POUDRE FIRE AUTHORITY,117589.59,22,67f8715767d5c0f1ef3c0992fd88c534be792670
